# [Sort by displacement]
# module_name  displacement  area  num_nets  disp*area  disp*num_nets  after_x  after_y  before_x  before_y
M029  153.305981  487060.000000  13  74669211.126662  1992.977754  6543.613597  3667.268007  6486.663213  3524.932566
M002  49.282390  1044288.000000  32  51465008.780608  1577.036489  2381.686244  2106.475216  2381.686244  2155.757606
M036  87.501641  445312.000000  18  38965530.699435  1575.029536  3995.613597  3715.057137  3963.670511  3633.594406
M046  65.418224  606816.000000  24  39696824.788976  1570.037367  6617.742115  4416.268007  6666.394333  4460.000211
M020  44.506565  201096.000000  35  8950092.194233  1557.729775  4506.821347  2770.057137  4504.664293  2814.511399
M019  84.766118  323792.000000  16  27446590.885045  1356.257888  4828.821347  2739.681417  4886.334875  2677.411931
M024  36.305615  212268.000000  36  7706520.231780  1307.002131  4247.821347  2770.057137  4233.810184  2736.564078
M039  107.473256  285376.000000  12  30670287.874107  1289.679071  7110.359981  2346.058320  7217.833237  2346.058320
M023  46.795293  555660.000000  27  26002272.522000  1263.472912  3463.398318  2827.407715  3462.394975  2780.623180
M021  104.275081  323792.000000  12  33763437.054870  1251.300973  3285.737824  1700.407715  3285.737824  1804.682796
M043  102.858301  484120.000000  11  49795760.781141  1131.441313  5786.105924  1569.962129  5888.964225  1569.962129
M018  33.035538  422576.000000  33  13960025.665028  1090.172766  5759.613597  3899.462646  5727.454469  3891.903725
M005  34.753193  737352.000000  31  25625336.537579  1077.348990  3379.658111  5199.207076  3411.777334  5212.478849
M048  43.611674  947856.000000  23  41337586.754430  1003.068499  6729.517570  5466.268007  6741.263978  5424.268007
M035  74.975327  334768.000000  13  25099340.241294  974.679250  5260.433945  4522.462646  5191.017069  4550.792789
M017  94.696617  296352.000000  10  28063531.751507  946.966167  5598.613597  3507.462646  5638.790128  3421.711287
M038  57.843131  432768.000000  16  25032656.248199  925.490101  6704.359981  2300.907361  6762.203112  2300.907361
M009  76.094860  452760.000000  12  34452708.786752  913.138319  2936.687762  3695.482516  2936.687762  3619.387656
M049  39.236424  290864.000000  20  11412463.115399  784.728472  6219.433945  4864.268007  6211.564949  4825.828758
M012  51.687349  323988.000000  14  16746080.868350  723.622888  4159.114523  875.000000  4159.114523  926.687349
M040  51.548646  340256.000000  12  17539736.099477  618.583752  6284.359981  2269.962129  6233.017571  2265.355629
M008  66.355528  802424.000000  9  53245268.063188  597.199750  2124.687762  3506.475216  2121.300272  3440.206211
M042  91.188845  63504.000000  6  5790856.436802  547.133072  6004.359981  2399.720117  6095.548826  2399.720117
M030  135.769541  947856.000000  4  128689973.972442  543.078164  6250.301087  6194.268007  6250.301087  6330.037548
M037  24.897481  682080.000000  21  16982073.866378  522.847102  3722.658111  4226.207076  3744.447677  4238.252797
M027  26.774239  305760.000000  19  8186491.428807  508.710548  6970.613597  3369.645023  6943.839357  3369.645023
M041  19.216478  310856.000000  26  5973557.379485  499.628419  5738.359981  2378.340553  5719.143503  2378.340553
M015  61.579866  341040.000000  8  21001197.420369  492.638926  4695.613597  3722.640032  4756.747856  3715.245292
M028  16.041501  551152.000000  12  8841305.438012  192.498014  7411.613597  3435.532382  7395.572095  3435.532382
M004  0.000000  4958800.000000  24  0.000002  0.000000  1573.658111  5053.958721  1573.658111  5053.958721
M032  0.000000  296352.000000  13  0.000000  0.000000  4790.888325  5345.341406  4790.888325  5345.341406
M031  0.000000  411600.000000  30  0.000000  0.000000  5652.433945  4620.462646  5652.433945  4620.462646
M025  0.000000  252448.000000  21  0.000000  0.000000  4100.613597  3330.057137  4100.613597  3330.057137
M044  0.000000  820260.000000  12  0.000000  0.000000  5016.105924  1675.681417  5016.105924  1675.681417
M010  0.000000  181104.000000  5  0.000000  0.000000  7524.817934  2530.684844  7524.817934  2530.684844

# average_displacement: 102.669564
